State,Pop_2010,Pop_2011,Pop_2012,Pop_2013,Pop_2014,Pop_2015,Pop_2016,Pop_2017,Pop_2018,latitude,longitude
California,37320903,37641823,37960782,38280824,38625139,38953142,39209127,39399349,39557045,36.701463,-118.755997
Texas,25242679,25646227,26089620,26489464,26977142,27486814,27937492,28322717,28701845,31.816038,-99.512099
New York,19400080,19498514,19574549,19628043,19656330,19661411,19641589,19590719,19542209,43.156168,-75.844995
Florida,18845785,19093352,19326230,19563166,19860330,20224249,20629982,20976812,21299325,27.756767,-81.463983
Illinois,12840762,12867291,12884119,12898269,12888962,12864342,12826895,12786196,12741080,40.079661,-89.433729
Pennsylvania,12711158,12744583,12766827,12776621,12789101,12785759,12783538,12790447,12807060,40.969989,-77.727883
Ohio,11539327,11543463,11548369,11576576,11602973,11617850,11635003,11664129,11689442,40.225357,-82.688139
Michigan,9877535,9881521,9896930,9913349,9930589,9932573,9951890,9976447,9995915,43.621196,-84.682435
Georgia,9711810,9801578,9901496,9973326,10069001,10181111,10304763,10413055,10519475,32.329381,-83.113737
North Carolina,9574293,9656754,9749123,9843599,9933944,10033079,10156679,10270800,10383620,35.672964,-79.039292
New Jersey,8799624,8827783,8845483,8858362,8866780,8870869,8874516,8888543,8908520,40.075738,-74.404162
Virginia,8023680,8100469,8185229,8253053,8312076,8362907,8410946,8465207,8517685,37.123225,-78.492772
Washington,6742902,6821655,6892876,6962906,7052439,7163543,7294680,7425432,7535591,47.286835,-120.212614
Massachusetts,6566431,6613149,6663158,6713944,6763652,6795891,6826022,6863246,6902149,42.378877,-72.032366
Indiana,6490436,6516045,6537640,6568367,6593533,6608296,6633344,6660082,6691878,40.327013,-86.174693
Arizona,6407774,6473497,6556629,6634999,6733840,6833596,6945452,7048876,7171646,34.395342,-111.763275
Tennessee,6355301,6397410,6451281,6493432,6540826,6590808,6645011,6708794,6770010,35.773008,-86.282008
Missouri,5995976,6009641,6024081,6040658,6056293,6071745,6087203,6108612,6126452,38.760482,-92.561787
Maryland,5788642,5838991,5887072,5923704,5958165,5986717,6004692,6024891,6042718,39.516223,-76.938207
Wisconsin,5690479,5704755,5719855,5736952,5751974,5761406,5772958,5792051,5813568,44.430898,-89.688464
Minnesota,5310843,5345668,5376550,5413693,5451522,5482503,5523409,5568155,5611179,45.989659,-94.611329
Colorado,5048281,5121771,5193721,5270482,5351218,5452107,5540921,5615902,5695564,38.725178,-105.607717
Alabama,4785448,4798834,4815564,4830460,4842481,4853160,4864745,4875120,4887871,33.258882,-86.829534
South Carolina,4635656,4671422,4717112,4764153,4823793,4892253,4958235,5021219,5084127,33.687439,-80.436374
Louisiana,4544532,4575184,4600814,4624577,4644204,4664851,4678215,4670818,4659978,30.870388,-92.007126
Kentucky,4348200,4369488,4386381,4404817,4414483,4425999,4438229,4453874,4468402,37.572603,-85.155141
Oregon,3837532,3871728,3899118,3922908,3964106,4016918,4091404,4146592,4190713,43.97928,-120.737257
Oklahoma,3759632,3787821,3818600,3853205,3878367,3909831,3926769,3932640,3943079,34.955082,-97.268406
Connecticut,3579125,3588023,3594395,3594915,3594783,3587509,3578674,3573880,3572665,41.65002,-72.734216
Iowa,3050767,3066054,3076097,3093078,3109504,3121460,3131785,3143637,3156145,41.921673,-93.31227
Mississippi,2970536,2978470,2983767,2988797,2990623,2988693,2988298,2989663,2986530,32.971565,-89.73485
Arkansas,2921978,2940407,2952109,2959549,2967726,2978407,2990410,3002997,3013825,35.204888,-92.447911
Kansas,2858213,2869035,2885361,2893510,2900896,2909502,2911263,2910689,2911505,38.27312,-98.582187
Utah,2775334,2814216,2853467,2897927,2937399,2982497,3042613,3103118,3161105,39.422519,-111.714358
Nevada,2702464,2712799,2744566,2776972,2819012,2868666,2919772,2972405,3034392,39.515883,-116.853723
New Mexico,2064588,2080395,2087549,2092792,2090342,2090211,2092789,2093395,2095428,34.570817,-105.993007
West Virginia,1854214,1856074,1856764,1853873,1849467,1841996,1830929,1817048,1805832,38.475841,-80.840841
Nebraska,1829536,1840538,1853323,1865414,1879522,1891507,1905924,1917575,1929268,41.737023,-99.587382
Idaho,1570773,1583828,1595441,1611530,1631479,1651523,1682930,1718904,1754208,43.644764,-114.015407
Hawaii,1363963,1379252,1394905,1408453,1414862,1422484,1428105,1424203,1420491,21.216044,-157.975203
Maine,1327632,1328150,1327691,1328196,1330760,1328484,1331370,1335063,1338404,45.709097,-68.85902
New Hampshire,1316777,1319815,1323962,1326408,1333223,1336294,1342373,1349767,1356458,43.484913,-71.655399
Rhode Island,1053938,1053536,1054601,1055122,1056017,1056173,1057063,1056486,1057315,41.796241,-71.599237
Montana,990722,997221,1003754,1013564,1021891,1030503,1040863,1053090,1062305,47.375267,-109.638758
Delaware,899595,907316,915188,923638,932596,941413,949216,957078,967171,38.692045,-75.401331
South Dakota,816165,823484,833496,842270,849088,853933,862890,873286,882235,44.647176,-100.348761
Alaska,713906,722038,730399,737045,736307,737547,741504,739786,737438,64.445961,-149.680909
North Dakota,674710,685136,701116,721999,737382,754022,754353,755176,760077,47.620146,-100.540737
Vermont,625880,626979,626063,626212,625218,625197,623644,624525,626299,44.599072,-72.500261
District of Columbia,605085,619602,634725,650431,662513,675254,686575,695691,702455,38.893661,-76.987883
Wyoming,564483,567224,576270,582123,582548,585668,584290,578934,577737,43.170026,-107.568535
